upgradeName,Korean,English
Bow_1_More_Damage_01,"데미지 증가",
Bow_1_More_Damage_02,"데미지 증가",
Bow_1_More_Projectile_01,"더 많은 화살",
Bow_1_More_Projectile_02,"더 많은 화살",
Bow_1_More_Projectile_03,"더 많은 화살",
Bow_1_Synergy,"쏟아지는 화살비!",
Bow_2_Acquire,"화살 발사!",
Bow_2_More_Damage_01,"데미지 증가",
Bow_2_More_Damage_02,"데미지 증가",
Bow_2_More_Projectile_01,"더 많은 화살",
Bow_2_More_Projectile_02,"더 많은 화살",
Bow_2_More_Projectile_03,"더 많은 화살",
Bow_2_Synergy,"쏟아지는 화살비!",
Bow_3_Acquire,"화살 발사!",
Bow_3_More_Damage_01,"데미지 증가",
Bow_3_More_Damage_02,"데미지 증가",
Bow_3_More_Projectile_01,"더 많은 화살",
Bow_3_More_Projectile_02,"더 많은 화살",
Bow_3_More_Projectile_03,"더 많은 화살",
Bow_3_Synergy,"쏟아지는 화살비!",
Bow_4_Acquire,"화살 발사!",
Bow_4_More_Damage_01,"데미지 증가",
Bow_4_More_Damage_02,"데미지 증가",
Bow_4_More_Projectile_01,"더 많은 화살",
Bow_4_More_Projectile_02,"더 많은 화살",
Bow_4_More_Projectile_03,"더 많은 화살",
Bow_4_Synergy,"쏟아지는 화살비!",
BowF_0_Acquire,"화살 발사!",
BowF_0_More_Damage_01,"데미지 증가",
BowF_0_More_Damage_02,"데미지 증가",
BowF_0_More_Projectile_01,"더 많은 화살",
BowF_0_More_Projectile_02,"더 많은 화살",
BowF_0_More_Projectile_03,"더 많은 화살",
BowF_0_Synergy,"쏟아지는 화살비!",
BowF_1_Acquire,"화살 발사!",
BowF_1_More_Damage_01,"데미지 증가",
BowF_1_More_Damage_02,"데미지 증가",
BowF_1_More_Projectile_01,"더 많은 화살",
BowF_1_More_Projectile_02,"더 많은 화살",
BowF_1_More_Projectile_03,"더 많은 화살",
BowF_1_Synergy,"쏟아지는 화살비!",
BowF_2_Acquire,"화살 발사!",
BowF_2_More_Damage_01,"데미지 증가",
BowF_2_More_Damage_02,"데미지 증가",
BowF_2_More_Projectile_01,"더 많은 화살",
BowF_2_More_Projectile_02,"더 많은 화살",
BowF_2_More_Projectile_03,"더 많은 화살",
BowF_2_Synergy,"쏟아지는 화살비!",
Bowling_0_Acquire,"데굴데굴 볼링공!",
Bowling_0_Skill_01,"데미지 증가",
Bowling_0_Skill_02,"데미지 증가",
Bowling_0_Skill_03,"데미지 증가",
Bowling_0_Skill_04,"더 넓은 범위 공격",
Bowling_0_Skill_05,"더 넓은 범위 공격",
Bowling_0_Synergy,"양손 볼링공!",
Bowling_1_Acquire,"데굴데굴 볼링공!",
Bowling_1_Skill_01,"데미지 증가",
Bowling_1_Skill_02,"데미지 증가",
Bowling_1_Skill_03,"데미지 증가",
Bowling_1_Skill_04,"더 넓은 범위 공격",
Bowling_1_Skill_05,"더 넓은 범위 공격",
Bowling_1_Synergy,"양손 볼링공!",
Bowling_2_Acquire,"데굴데굴 볼링공!",
Bowling_2_Skill_01,"데미지 증가",
Bowling_2_Skill_02,"데미지 증가",
Bowling_2_Skill_03,"데미지 증가",
Bowling_2_Skill_04,"더 넓은 범위 공격",
Bowling_2_Skill_05,"더 넓은 범위 공격",
Bowling_2_Synergy,"양손 볼링공!",
Bowling_3_Acquire,"데굴데굴 볼링공!",
Bowling_3_Skill_01,"데미지 증가",
Bowling_3_Skill_02,"데미지 증가",
Bowling_3_Skill_03,"데미지 증가",
Bowling_3_Skill_04,"더 넓은 범위 공격",
Bowling_3_Skill_05,"더 넓은 범위 공격",
Bowling_3_Synergy,"양손 볼링공!",
Bowling_4_Acquire,"데굴데굴 볼링공!",
Bowling_4_Skill_01,"데미지 증가",
Bowling_4_Skill_02,"데미지 증가",
Bowling_4_Skill_03,"데미지 증가",
Bowling_4_Skill_04,"더 넓은 범위 공격",
Bowling_4_Skill_05,"더 넓은 범위 공격",
Bowling_4_Synergy,"양손 볼링공!",
BowlingF_0_Acquire,"데굴데굴 볼링공!",
BowlingF_0_Skill_01,"데미지 증가",
BowlingF_0_Skill_02,"데미지 증가",
BowlingF_0_Skill_03,"데미지 증가",
BowlingF_0_Skill_04,"더 넓은 범위 공격",
BowlingF_0_Skill_05,"더 넓은 범위 공격",
BowlingF_0_Synergy,"양손 볼링공!",
BowlingF_1_Acquire,"데굴데굴 볼링공!",
BowlingF_1_Skill_01,"데미지 증가",
BowlingF_1_Skill_02,"데미지 증가",
BowlingF_1_Skill_03,"데미지 증가",
BowlingF_1_Skill_04,"더 넓은 범위 공격",
BowlingF_1_Skill_05,"더 넓은 범위 공격",
BowlingF_1_Synergy,"양손 볼링공!",
BowlingF_2_Acquire,"데굴데굴 볼링공!",
BowlingF_2_Skill_01,"데미지 증가",
BowlingF_2_Skill_02,"데미지 증가",
BowlingF_2_Skill_03,"데미지 증가",
BowlingF_2_Skill_04,"더 넓은 범위 공격",
BowlingF_2_Skill_05,"더 넓은 범위 공격",
BowlingF_2_Synergy,"양손 볼링공!",
CannonF_0_Acquire,"헤딩 폭탄!",
CannonF_0_More_Damage_01,"데미지 증가",
CannonF_0_More_Damage_02,"데미지 증가",
CannonF_0_More_Damage_03,"데미지 증가",
CannonF_0_More_Projectile_01,"폭탄 추가",
CannonF_0_More_Projectile_02,"폭탄 추가",
CannonF_0_Synergy,"빙글빙글 폭탄!",
CannonF_1_Acquire,"헤딩 폭탄!",
CannonF_1_More_Damage_01,"데미지 증가",
CannonF_1_More_Damage_02,"데미지 증가",
CannonF_1_More_Damage_03,"데미지 증가",
CannonF_1_More_Projectile_01,"폭탄 추가",
CannonF_1_More_Projectile_02,"폭탄 추가",
CannonF_1_Synergy,"빙글빙글 폭탄!",
CannonF_2_Acquire,"헤딩 폭탄!",
CannonF_2_More_Damage_01,"데미지 증가",
CannonF_2_More_Damage_02,"데미지 증가",
CannonF_2_More_Damage_03,"데미지 증가",
CannonF_2_More_Projectile_01,"폭탄 추가",
CannonF_2_More_Projectile_02,"폭탄 추가",
CannonF_2_Synergy,"빙글빙글 폭탄!",
Cat_0_Acquire,"고양이 출동!",
Cat_0_More_Damage_01,"날카로운 고양이 발톱",
Cat_0_More_Damage_02,"날카로운 고양이 발톱",
Cat_0_More_Projectile_01,"더 많은 고양이",
Cat_0_More_Projectile_02,"더 많은 고양이",
Cat_0_More_Projectile_03,"더 많은 고양이",
Cat_0_Synergy,"고양이 군단 출동!",
Cat_1_Acquire,"고양이 출동!",
Cat_1_More_Damage_01,"날카로운 고양이 발톱",
Cat_1_More_Damage_02,"날카로운 고양이 발톱",
Cat_1_More_Projectile_01,"더 많은 고양이",
Cat_1_More_Projectile_02,"더 많은 고양이",
Cat_1_More_Projectile_03,"더 많은 고양이",
Cat_1_Synergy,"고양이 군단 출동!",
Cat_2_Acquire,"고양이 출동!",
Cat_2_More_Damage_01,"날카로운 고양이 발톱",
Cat_2_More_Damage_02,"날카로운 고양이 발톱",
Cat_2_More_Projectile_01,"더 많은 고양이",
Cat_2_More_Projectile_02,"더 많은 고양이",
Cat_2_More_Projectile_03,"더 많은 고양이",
Cat_2_Synergy,"고양이 군단 출동!",
Cat_3_Acquire,"고양이 출동!",
Cat_3_More_Damage_01,"날카로운 고양이 발톱",
Cat_3_More_Damage_02,"날카로운 고양이 발톱",
Cat_3_More_Projectile_01,"더 많은 고양이",
Cat_3_More_Projectile_02,"더 많은 고양이",
Cat_3_More_Projectile_03,"더 많은 고양이",
Cat_3_Synergy,"고양이 군단 출동!",
Cat_4_Acquire,"고양이 출동!",
Cat_4_More_Damage_01,"날카로운 고양이 발톱",
Cat_4_More_Damage_02,"날카로운 고양이 발톱",
Cat_4_More_Projectile_01,"더 많은 고양이",
Cat_4_More_Projectile_02,"더 많은 고양이",
Cat_4_More_Projectile_03,"더 많은 고양이",
Cat_4_Synergy,"고양이 군단 출동!",
CatF_0_Acquire,"고양이 출동!",
CatF_0_More_Damage_01,"날카로운 고양이 발톱",
CatF_0_More_Damage_02,"날카로운 고양이 발톱",
CatF_0_More_Projectile_01,"더 많은 고양이",
CatF_0_More_Projectile_02,"더 많은 고양이",
CatF_0_More_Projectile_03,"더 많은 고양이",
CatF_0_Synergy,"고양이 군단 출동!",
CatF_1_Acquire,"고양이 출동!",
CatF_1_More_Damage_01,"날카로운 고양이 발톱",
CatF_1_More_Damage_02,"날카로운 고양이 발톱",
CatF_1_More_Projectile_01,"더 많은 고양이",
CatF_1_More_Projectile_02,"더 많은 고양이",
CatF_1_More_Projectile_03,"더 많은 고양이",
CatF_1_Synergy,"고양이 군단 출동!",
CatF_2_Acquire,"고양이 출동!",
CatF_2_More_Damage_01,"날카로운 고양이 발톱",
CatF_2_More_Damage_02,"날카로운 고양이 발톱",
CatF_2_More_Projectile_01,"더 많은 고양이",
CatF_2_More_Projectile_02,"더 많은 고양이",
CatF_2_More_Projectile_03,"더 많은 고양이",
CatF_2_Synergy,"고양이 군단 출동!",
CowboyF_0_Acquire,"총알 공격!",
CowboyF_0_Less_CoolTime_1,"쿨타임 감소",
CowboyF_0_Less_CoolTime_2,"쿨타임 감소",
CowboyF_0_More_Damage_1,"데미지 증가",
CowboyF_0_More_Damage_2,"데미지 증가",
CowboyF_0_More_Projectile,"총알 추가",
CowboyF_0_Synergy,"쌍권총!",
CowboyF_1_Acquire,"총알 공격!",
CowboyF_1_Less_CoolTime_1,"쿨타임 감소",
CowboyF_1_Less_CoolTime_2,"쿨타임 감소",
CowboyF_1_More_Damage_1,"데미지 증가",
CowboyF_1_More_Damage_2,"데미지 증가",
CowboyF_1_More_Projectile,"총알 추가",
CowboyF_1_Synergy,"쌍권총!",
CowboyF_2_Acquire,"총알 공격!",
CowboyF_2_Less_CoolTime_1,"쿨타임 감소",
CowboyF_2_Less_CoolTime_2,"쿨타임 감소",
CowboyF_2_More_Damage_1,"데미지 증가",
CowboyF_2_More_Damage_2,"데미지 증가",
CowboyF_2_More_Projectile,"총알 추가",
CowboyF_2_Synergy,"쌍권총!",
Fire_0_Acquire,"총알 공격!",
Fire_0_Less_CoolTime_1,"쿨타임 감소",
Fire_0_Less_CoolTime_2,"쿨타임 감소",
Fire_0_More_Damage_1,"데미지 증가",
Fire_0_More_Damage_2,"데미지 증가",
Fire_0_More_Projectile,"총알 추가",
Fire_0_Synergy,"쌍권총!",
Fire_1_Acquire,"총알 공격!",
Fire_1_Less_CoolTime_1,"쿨타임 감소",
Fire_1_Less_CoolTime_2,"쿨타임 감소",
Fire_1_More_Damage_1,"데미지 증가",
Fire_1_More_Damage_2,"데미지 증가",
Fire_1_More_Projectile,"총알 추가",
Fire_1_Synergy,"쌍권총!",
Fire_2_Acquire,"총알 공격!",
Fire_2_Less_CoolTime_1,"쿨타임 감소",
Fire_2_Less_CoolTime_2,"쿨타임 감소",
Fire_2_More_Damage_1,"데미지 증가",
Fire_2_More_Damage_2,"데미지 증가",
Fire_2_More_Projectile,"총알 추가",
Fire_2_Synergy,"쌍권총!",
Fire_3_Acquire,"총알 공격!",
Fire_3_Less_CoolTime_1,"쿨타임 감소",
Fire_3_Less_CoolTime_2,"쿨타임 감소",
Fire_3_More_Damage_1,"데미지 증가",
Fire_3_More_Damage_2,"데미지 증가",
Fire_3_More_Projectile,"총알 추가",
Fire_3_Synergy,"쌍권총!",
Fire_4_Acquire,"총알 공격!",
Fire_4_Less_CoolTime_1,"쿨타임 감소",
Fire_4_Less_CoolTime_2,"쿨타임 감소",
Fire_4_More_Damage_1,"데미지 증가",
Fire_4_More_Damage_2,"데미지 증가",
Fire_4_More_Projectile,"총알 추가",
Fire_4_Synergy,"쌍권총!",
Fire_Acquire,"총알 공격!",
Fire_Less_CoolTime_1,"쿨타임 감소",
Fire_Less_CoolTime_2,"쿨타임 감소",
Fire_More_Damage_1,"데미지 증가",
Fire_More_Damage_2,"데미지 증가",
Fire_More_Projectile,"총알 추가",
Fire_Synergy,"쌍권총!",
Garlic_0_Acquire,"음악 공격!",
Garlic_0_Bigger_Size_1,"더 넓은 범위 공격",
Garlic_0_Bigger_Size_2,"더 넓은 범위 공격",
Garlic_0_Bigger_Size_3,"더 넓은 범위 공격",
Garlic_0_KnockBackUp_1,"낙백 확률 증가",
Garlic_0_KnockBackUp_2,"낙백 확률 증가",
Garlic_0_Synergy,"기타의 신!",
Garlic_1_Acquire,"음악 공격!",
Garlic_1_Bigger_Size_1,"더 넓은 범위 공격",
Garlic_1_Bigger_Size_2,"더 넓은 범위 공격",
Garlic_1_Bigger_Size_3,"더 넓은 범위 공격",
Garlic_1_KnockBackUp_1,"낙백 확률 증가",
Garlic_1_KnockBackUp_2,"낙백 확률 증가",
Garlic_1_Synergy,"기타의 신!",
Garlic_2_Acquire,"음악 공격!",
Garlic_2_Bigger_Size_1,"더 넓은 범위 공격",
Garlic_2_Bigger_Size_2,"더 넓은 범위 공격",
Garlic_2_Bigger_Size_3,"더 넓은 범위 공격",
Garlic_2_KnockBackUp_1,"낙백 확률 증가",
Garlic_2_KnockBackUp_2,"낙백 확률 증가",
Garlic_2_Synergy,"기타의 신!",
Garlic_3_Acquire,"음악 공격!",
Garlic_3_Bigger_Size_1,"더 넓은 범위 공격",
Garlic_3_Bigger_Size_2,"더 넓은 범위 공격",
Garlic_3_Bigger_Size_3,"더 넓은 범위 공격",
Garlic_3_KnockBackUp_1,"낙백 확률 증가",
Garlic_3_KnockBackUp_2,"낙백 확률 증가",
Garlic_3_Synergy,"기타의 신!",
Garlic_4_Acquire,"음악 공격!",
Garlic_4_Bigger_Size_1,"더 넓은 범위 공격",
Garlic_4_Bigger_Size_2,"더 넓은 범위 공격",
Garlic_4_Bigger_Size_3,"더 넓은 범위 공격",
Garlic_4_KnockBackUp_1,"낙백 확률 증가",
Garlic_4_KnockBackUp_2,"낙백 확률 증가",
Garlic_4_Synergy,"기타의 신!",
GuitarF_0_Acquire,"음악 공격!",
GuitarF_0_Bigger_Size_1,"더 넓은 범위 공격",
GuitarF_0_Bigger_Size_2,"더 넓은 범위 공격",
GuitarF_0_Bigger_Size_3,"더 넓은 범위 공격",
GuitarF_0_KnockBackUp_1,"낙백 확률 증가",
GuitarF_0_KnockBackUp_2,"낙백 확률 증가",
GuitarF_0_Synergy,"기타의 신!",
GuitarF_1_Acquire,"음악 공격!",
GuitarF_1_Bigger_Size_1,"더 넓은 범위 공격",
GuitarF_1_Bigger_Size_2,"더 넓은 범위 공격",
GuitarF_1_Bigger_Size_3,"더 넓은 범위 공격",
GuitarF_1_KnockBackUp_1,"낙백 확률 증가",
GuitarF_1_KnockBackUp_2,"낙백 확률 증가",
GuitarF_1_Synergy,"기타의 신!",
GuitarF_2_Acquire,"음악 공격!",
GuitarF_2_Bigger_Size_1,"더 넓은 범위 공격",
GuitarF_2_Bigger_Size_2,"더 넓은 범위 공격",
GuitarF_2_Bigger_Size_3,"더 넓은 범위 공격",
GuitarF_2_KnockBackUp_1,"낙백 확률 증가",
GuitarF_2_KnockBackUp_2,"낙백 확률 증가",
GuitarF_2_Synergy,"기타의 신!",
Hammer_0_Acquire,"전기 뿅망치!",
Hammer_0_Fast_Attack_01,"데미지 증가",
Hammer_0_Knockback_01,"낙백 확률 증가",
Hammer_0_More_Damage_01,"데미지 증가",
Hammer_0_More_Damage_02,"데미지 증가",
Hammer_0_MultiAttack,"앞 뒤로 공격!",
Hammer_0_Synergy,"토르토르 공격!",
Hammer_1_Acquire,"전기 뿅망치!",
Hammer_1_Fast_Attack_01,"데미지 증가",
Hammer_1_Knockback_01,"낙백 확률 증가",
Hammer_1_More_Damage_01,"데미지 증가",
Hammer_1_More_Damage_02,"데미지 증가",
Hammer_1_MultiAttack,"앞 뒤로 공격!",
Hammer_1_Synergy,"토르토르 공격!",
Hammer_2_Acquire,"전기 뿅망치!",
Hammer_2_Fast_Attack_01,"데미지 증가",
Hammer_2_Knockback_01,"낙백 확률 증가",
Hammer_2_More_Damage_01,"데미지 증가",
Hammer_2_More_Damage_02,"데미지 증가",
Hammer_2_MultiAttack,"앞 뒤로 공격!",
Hammer_2_Synergy,"토르토르 공격!",
Hammer_3_Acquire,"전기 뿅망치!",
Hammer_3_Fast_Attack_01,"데미지 증가",
Hammer_3_Knockback_01,"낙백 확률 증가",
Hammer_3_More_Damage_01,"데미지 증가",
Hammer_3_More_Damage_02,"데미지 증가",
Hammer_3_MultiAttack,"앞 뒤로 공격!",
Hammer_3_Synergy,"토르토르 공격!",
Hammer_4_Acquire,"전기 뿅망치!",
Hammer_4_Fast_Attack_01,"데미지 증가",
Hammer_4_Knockback_01,"낙백 확률 증가",
Hammer_4_More_Damage_01,"데미지 증가",
Hammer_4_More_Damage_02,"데미지 증가",
Hammer_4_MultiAttack,"앞 뒤로 공격!",
Hammer_4_Synergy,"토르토르 공격!",
HammerF_0_Acquire,"전기 뿅망치!",
HammerF_0_Fast_Attack_01,"데미지 증가",
HammerF_0_Knockback_01,"낙백 확률 증가",
HammerF_0_More_Damage_01,"데미지 증가",
HammerF_0_More_Damage_02,"데미지 증가",
HammerF_0_MultiAttack,"앞 뒤로 공격!",
HammerF_0_Synergy,"토르토르 공격!",
HammerF_1_Acquire,"전기 뿅망치!",
HammerF_1_Fast_Attack_01,"데미지 증가",
HammerF_1_Knockback_01,"낙백 확률 증가",
HammerF_1_More_Damage_01,"데미지 증가",
HammerF_1_More_Damage_02,"데미지 증가",
HammerF_1_MultiAttack,"앞 뒤로 공격!",
HammerF_1_Synergy,"토르토르 공격!",
HammerF_2_Acquire,"전기 뿅망치!",
HammerF_2_Fast_Attack_01,"데미지 증가",
HammerF_2_Knockback_01,"낙백 확률 증가",
HammerF_2_More_Damage_01,"데미지 증가",
HammerF_2_More_Damage_02,"데미지 증가",
HammerF_2_MultiAttack,"앞 뒤로 공격!",
HammerF_2_Synergy,"토르토르 공격!",
Hoop_0_Acquire,"빙글빙글 요요!",
Hoop_0_FasterProjectiles_1,"더 빠른 회전",
Hoop_0_MoreProjectiles_1,"요요 추가",
Hoop_0_MoreProjectiles_2,"요요 추가",
Hoop_0_MoreProjectiles_3,"요요 추가",
Hoop_0_MoreStrongProjectile_1,"데미지 증가",
Hoop_0_Synergy,"멀티 자석 요요!",
Hoop_1_Acquire,"빙글빙글 요요!",
Hoop_1_FasterProjectiles_1,"더 빠른 회전",
Hoop_1_MoreProjectiles_1,"요요 추가",
Hoop_1_MoreProjectiles_2,"요요 추가",
Hoop_1_MoreProjectiles_3,"요요 추가",
Hoop_1_MoreStrongProjectile_1,"데미지 증가",
Hoop_1_Synergy,"멀티 자석 요요!",
Hoop_2_Acquire,"빙글빙글 요요!",
Hoop_2_FasterProjectiles_1,"더 빠른 회전",
Hoop_2_MoreProjectiles_1,"요요 추가",
Hoop_2_MoreProjectiles_2,"요요 추가",
Hoop_2_MoreProjectiles_3,"요요 추가",
Hoop_2_MoreStrongProjectile_1,"데미지 증가",
Hoop_2_Synergy,"멀티 자석 요요!",
Hoop_3_Acquire,"빙글빙글 요요!",
Hoop_3_FasterProjectiles_1,"더 빠른 회전",
Hoop_3_MoreProjectiles_1,"요요 추가",
Hoop_3_MoreProjectiles_2,"요요 추가",
Hoop_3_MoreProjectiles_3,"요요 추가",
Hoop_3_MoreStrongProjectile_1,"데미지 증가",
Hoop_3_Synergy,"멀티 자석 요요!",
Hoop_4_Acquire,"빙글빙글 요요!",
Hoop_4_FasterProjectiles_1,"더 빠른 회전",
Hoop_4_MoreProjectiles_1,"요요 추가",
Hoop_4_MoreProjectiles_2,"요요 추가",
Hoop_4_MoreProjectiles_3,"요요 추가",
Hoop_4_MoreStrongProjectile_1,"데미지 증가",
Hoop_4_Synergy,"멀티 자석 요요!",
Laser_0_Acquire,"레이져 발사!",
Laser_0_Faster_Laser_01,"더 빨리 회전!",
Laser_0_Faster_Laser_02,"더 빨리 회전!",
Laser_0_More_Laser_01,"레이져 추가",
Laser_0_More_Laser_02,"레이져 추가",
Laser_0_More_Laser_03,"레이져 추가",
Laser_0_Synergy,"빙글빙글 레이져",
Laser_1_Acquire,"레이져 발사!",
Laser_1_Faster_Laser_01,"더 빨리 회전!",
Laser_1_Faster_Laser_02,"더 빨리 회전!",
Laser_1_More_Laser_01,"레이져 추가",
Laser_1_More_Laser_02,"레이져 추가",
Laser_1_More_Laser_03,"레이져 추가",
Laser_1_Synergy,"빙글빙글 레이져",
Laser_2_Acquire,"레이져 발사!",
Laser_2_Faster_Laser_01,"더 빨리 회전!",
Laser_2_Faster_Laser_02,"더 빨리 회전!",
Laser_2_More_Laser_01,"레이져 추가",
Laser_2_More_Laser_02,"레이져 추가",
Laser_2_More_Laser_03,"레이져 추가",
Laser_2_Synergy,"빙글빙글 레이져",
Laser_3_Acquire,"레이져 발사!",
Laser_3_Faster_Laser_01,"더 빨리 회전!",
Laser_3_Faster_Laser_02,"더 빨리 회전!",
Laser_3_More_Laser_01,"레이져 추가",
Laser_3_More_Laser_02,"레이져 추가",
Laser_3_More_Laser_03,"레이져 추가",
Laser_3_Synergy,"빙글빙글 레이져",
Laser_4_Acquire,"레이져 발사!",
Laser_4_Faster_Laser_01,"더 빨리 회전!",
Laser_4_Faster_Laser_02,"더 빨리 회전!",
Laser_4_More_Laser_01,"레이져 추가",
Laser_4_More_Laser_02,"레이져 추가",
Laser_4_More_Laser_03,"레이져 추가",
Laser_4_Synergy,"빙글빙글 레이져",
LaserF_0_Acquire,"레이져 발사!",
LaserF_0_Faster_Laser_01,"더 빨리 회전!",
LaserF_0_Faster_Laser_02,"더 빨리 회전!",
LaserF_0_More_Laser_01,"레이져 추가",
LaserF_0_More_Laser_02,"레이져 추가",
LaserF_0_More_Laser_03,"레이져 추가",
LaserF_0_Synergy,"빙글빙글 레이져",
LaserF_1_Acquire,"레이져 발사!",
LaserF_1_Faster_Laser_01,"더 빨리 회전!",
LaserF_1_Faster_Laser_02,"더 빨리 회전!",
LaserF_1_More_Laser_01,"레이져 추가",
LaserF_1_More_Laser_02,"레이져 추가",
LaserF_1_More_Laser_03,"레이져 추가",
LaserF_1_Synergy,"빙글빙글 레이져",
LaserF_2_Acquire,"레이져 발사!",
LaserF_2_Faster_Laser_01,"더 빨리 회전!",
LaserF_2_Faster_Laser_02,"더 빨리 회전!",
LaserF_2_More_Laser_01,"레이져 추가",
LaserF_2_More_Laser_02,"레이져 추가",
LaserF_2_More_Laser_03,"레이져 추가",
LaserF_2_Synergy,"빙글빙글 레이져",
NanoF_0_Acquire,"오리 군단 출동!",
NanoF_0_Skill_01,"데미지 증가",
NanoF_0_Skill_02,"데미지 증가",
NanoF_0_Skill_03,"더 많은 오리들",
NanoF_0_Skill_04,"더 많은 오리들",
NanoF_0_Skill_05,"더 많은 오리들",
NanoF_0_Synergy,"많이 많이 오리",
NanoF_1_Acquire,"오리 군단 출동!",
NanoF_1_Skill_01,"데미지 증가",
NanoF_1_Skill_02,"데미지 증가",
NanoF_1_Skill_03,"더 많은 오리들",
